time,close,high,low,open,volumefrom,volumeto
1488499200,1.06,1.06,1.04,1.05,113498.88,119197.9
1488585600,1.06,1.06,1.05,1.06,84170.43,89129.43
1488672000,1.07,1.07,1.05,1.06,75920.2,80779.59
1488758400,1.06,1.07,1.06,1.07,273661.44,290646.92
1488844800,1.05,1.06,1.05,1.06,214959.8,226213.5
1488931200,1.06,1.06,1.05,1.05,142191.8,149428.66
1489017600,1.05,1.06,1.04,1.06,83821.27,88384.75
1489104000,1.06,1.07,1.03,1.05,554176.76,581744.52
1489190400,1.05,1.06,1.04,1.06,146344.59,154218.37
1489276800,1.06,1.07,1.05,1.05,73792.83,78405.12
1489363200,1.07,1.07,1.06,1.06,289524.74,308642.05
1489449600,1.06,1.1,1.05,1.07,315851.42,341165.89
1489536000,1.08,1.09,1.06,1.06,154736.84,166332.81
1489622400,1.08,1.09,1.07,1.08,180844.87,194275.72
1489708800,1.09,1.12,1.07,1.08,286416.62,311285.2
1489795200,1.09,1.11,1.07,1.09,182311.64,198417.39
1489881600,1.08,1.11,1.08,1.09,106533.64,116167.47
1489968000,1.08,1.1,1.07,1.08,135784.32,146720.27
1490054400,1.09,1.09,1.07,1.08,161651.3,174270
1490140800,1.08,1.09,1.07,1.09,260009.99,279946.8
1490227200,1.08,1.09,1.07,1.08,112171.75,120901.15
1490313600,1.09,1.1,1.07,1.08,291404.79,314443.3
1490400000,1.09,1.1,1.07,1.09,236359.22,255958.75
1490486400,1.08,1.11,1.08,1.09,99272.36,107989.97
1490572800,1.09,1.09,1.07,1.08,130025.98,141136.85
1490659200,1.08,1.1,1.07,1.09,114922.74,124476.4
1490745600,1.09,1.11,1.08,1.08,591308.55,647900.42
1490832000,1.08,1.1,1.07,1.09,370259.55,402919.11
1490918400,1.07,1.1,1.07,1.08,604270.39,649634.97
1491004800,1.07,1.08,1.07,1.07,65009.47,69605.02
1491091200,1.07,1.08,1.04,1.07,414348.58,441837.93
1491177600,1.07,1.08,1.06,1.07,310785.88,333277.15
1491264000,1.07,1.08,1.06,1.07,170373.13,181997.98
